0,1,2,3
0.0,3.0,997.0,0.0
0.6512177415093866,4.0,996.0,0.0
0.7987106597697754,3.0,996.0,1.0
1.2844727167862342,2.0,996.0,2.0
2.5309036141925443,3.0,995.0,2.0
3.5921031651500064,4.0,994.0,2.0
4.2824958925887975,5.0,993.0,2.0
4.7791756126285705,6.0,992.0,2.0
5.0184551328170395,5.0,992.0,3.0
5.9838383813471285,6.0,991.0,3.0
6.558569370883033,7.0,990.0,3.0
6.737067269375418,8.0,989.0,3.0
6.815861620193752,9.0,988.0,3.0
7.403141827562628,10.0,987.0,3.0
7.682124023509485,11.0,986.0,3.0
7.775757423943703,12.0,985.0,3.0
7.814954447375489,13.0,984.0,3.0
8.088142592977924,14.0,983.0,3.0
8.425503034174953,15.0,982.0,3.0
8.44850387674824,14.0,982.0,4.0
8.472089254786969,13.0,982.0,5.0
8.517817402773156,12.0,982.0,6.0
8.598221827674806,13.0,981.0,6.0
8.680233637634817,12.0,981.0,7.0
9.563572399980922,13.0,980.0,7.0
9.580164005956915,12.0,980.0,8.0
9.696385822662071,11.0,980.0,9.0
9.714699857843756,10.0,980.0,10.0
9.802349422557366,9.0,980.0,11.0
9.838253194586649,10.0,979.0,11.0
10.032378741645934,11.0,978.0,11.0
10.04151760816538,10.0,978.0,12.0
10.085325034466951,9.0,978.0,13.0
10.185837011099933,10.0,977.0,13.0
10.238565835366042,11.0,976.0,13.0
10.426180720872637,10.0,976.0,14.0
10.518481609919299,9.0,976.0,15.0
10.58161227209886,10.0,975.0,15.0
10.648125192060022,11.0,974.0,15.0
10.780958846742209,10.0,974.0,16.0
10.849935487211603,11.0,973.0,16.0
11.175718214426386,12.0,972.0,16.0
11.198573963668949,13.0,971.0,16.0
11.298648608277773,12.0,971.0,17.0
11.337277077979108,13.0,970.0,17.0
11.386930174224867,12.0,970.0,18.0
11.498879715116962,13.0,969.0,18.0
11.544438495893623,14.0,968.0,18.0
11.60266075525148,13.0,968.0,19.0
11.809021522441908,14.0,967.0,19.0
11.840933720320516,13.0,967.0,20.0
11.86885678881801,12.0,967.0,21.0
12.00307248285119,13.0,966.0,21.0
12.016878682538014,14.0,965.0,21.0
12.205432263885026,15.0,964.0,21.0
12.430535257232387,16.0,963.0,21.0
12.542283802505121,17.0,962.0,21.0
12.614795408082296,18.0,961.0,21.0
12.645511797338102,19.0,960.0,21.0
12.730601308442921,20.0,959.0,21.0
12.730645547255538,21.0,958.0,21.0
12.741793649598147,22.0,957.0,21.0
12.807865233830523,21.0,957.0,22.0
12.89985436450498,22.0,956.0,22.0
13.16108300563393,21.0,956.0,23.0
13.206877812523011,20.0,956.0,24.0
13.225217792273387,21.0,955.0,24.0
13.343843061146709,20.0,955.0,25.0
13.550172903765358,21.0,954.0,25.0
13.587412131046646,22.0,953.0,25.0
14.025061223716282,23.0,952.0,25.0
